city_id,市名,都道府県,実装状態,グループ,人口順位
osaki,大崎市,宮城県,実装済,,145
ishinomaki,石巻市,宮城県,実装済,,130
kesennuma,気仙沼市,宮城県,実装済,,230
shiroishi,白石市,宮城県,未実装,グループ1,270
kurihara,栗原市,宮城県,未実装,グループ1,175
misawa,登米市,宮城県,未実装,グループ1,190
tagajyo,多賀城市,宮城県,未実装,グループ1,185
akita,秋田市,秋田県,実装済,,265
noshiro,能代市,秋田県,未実装,グループ1,280
yokote,横手市,秋田県,未実装,グループ1,235
odate,大館市,秋田県,未実装,グループ1,255
senboku,仙北市,秋田県,未実装,グループ1,275
daisen,大仙市,秋田県,未実装,グループ1,190
kitaakita,北秋田市,秋田県,未実装,グループ1,270
riku_nishi,にかほ市,秋田県,未実装,グループ1,285
yamagata,山形市,山形県,実装済,,240
yonezawa,米沢市,山形県,未実装,グループ1,200
sagae,寒河江市,山形県,未実装,グループ1,275
kaminoyama,上山市,山形県,未実装,グループ1,290
tsuruoka,鶴岡市,山形県,実装済,,130
sakata,酒田市,山形県,未実装,グループ1,155
shinjo,新庄市,山形県,未実装,グループ1,265
fukushima,福島市,福島県,実装済,,275
aizuwakamatsu,会津若松市,福島県,実装済,,210
koriyama,郡山市,福島県,実装済,,38
iwaki,いわき市,福島県,実装済,,95
white_river,白河市,福島県,未実装,グループ1,250
sukagawa,須賀川市,福島県,実装済,,235
motomiya,本宮市,福島県,未実装,グループ1,280
minamisoma,南相馬市,福島県,実装済,,225
mito,水戸市,茨城県,未実装,グループ1,220
hitachi,日立市,茨城県,実装済,,170
tsukuba,つくば市,茨城県,実装済,,155
koga,古河市,茨城県,未実装,グループ1,225
ishioka,石岡市,茨城県,未実装,グループ1,265
ryugasaki,龍ヶ崎市,茨城県,実装済,,215
tsuchiura,土浦市,茨城県,実装済,,200
kasumigaura,かすみがうら市,茨城県,実装済,,280
joso,常総市,茨城県,実装済,,240
tsukubamirai,つくばみらい市,茨城県,実装済,,285
yuki,結城市,茨城県,未実装,グループ1,255
utsunomiya,宇都宮市,栃木県,実装済,,58
kanuma,鹿沼市,栃木県,未実装,グループ1,195
nikko,日光市,栃木県,実装済,,265
tochigi_city,栃木市,栃木県,実装済,,215
kuroiso,黒磯市,栃木県,実装済,,310
nasushiobara,那須塩原市,栃木県,実装済,,155
shimotsuke,下野市,栃木県,未実装,グループ1,280
oyama,小山市,栃木県,実装済,,165
nasukarasuyama,那須烏山市,栃木県,実装済,,300
maebashi,前橋市,群馬県,実装済,,195
takasaki,高崎市,群馬県,実装済,,140
kiryu,桐生市,群馬県,実装済,,215
isesaki,伊勢崎市,群馬県,実装済,,155
tatebayashi,館林市,群馬県,実装済,,185
shibukawa,渋川市,群馬県,未実装,グループ1,265
numata,沼田市,群馬県,未実装,グループ1,260
ota_gunma,太田市,群馬県,実装済,,135
saitama,さいたま市,埼玉県,実装済,,21
kawagoe,川越市,埼玉県,実装済,,100
kawaguchi,川口市,埼玉県,実装済,,55
wako,和光市,埼玉県,未実装,グループ2,270
warabi,蕨市,埼玉県,未実装,グループ2,295
toda,戸田市,埼玉県,実装済,,135
asaka,朝霞市,埼玉県,実装済,,185
fujimi,富士見市,埼玉県,実装済,,190
koshigaya,越谷市,埼玉県,実装済,,75
misato,三郷市,埼玉県,実装済,,180
kazo,加須市,埼玉県,実装済,,210
hasuda,蓮田市,埼玉県,未実装,グループ2,230
gyoda,行田市,埼玉県,実装済,,210
soka,草加市,埼玉県,実装済,,110
honjo,本庄市,埼玉県,実装済,,250
iruma,入間市,埼玉県,実装済,,195
tsurugashima,鶴ヶ島市,埼玉県,実装済,,240
ageo,上尾市,埼玉県,実装済,,150
higashimatsuyama,東松山市,埼玉県,実装済,,225
fujimino,富士見市,埼玉県,実装済,,190
yoshimi,吉見町,埼玉県,未実装,グループ2,315
satte,幸手市,埼玉県,実装済,,270
sakado,坂戸市,埼玉県,実装済,,230
sakura,桜市,埼玉県,未実装,グループ2,315
sayama,狭山市,埼玉県,実装済,,215
yoshikawa,吉川市,埼玉県,実装済,,245
kuki,久喜市,埼玉県,実装済,,165
chiba,千葉市,千葉県,実装済,,50
ichikawa,市川市,千葉県,実装済,,73
funabashi,船橋市,千葉県,実装済,,61
matsudo,松戸市,千葉県,実装済,,71
kisarazu,木更津市,千葉県,未実装,グループ2,225
choshi,銚子市,千葉県,未実装,グループ2,275
yachiyo,八千代市,千葉県,実装済,,170
ichihara,市原市,千葉県,実装済,,155
asahi,旭市,千葉県,未実装,グループ2,265
sosa,香取市,千葉県,未実装,グループ2,280
togane,東金市,千葉県,未実装,グループ2,255
isumi,いすみ市,千葉県,未実装,グループ2,270
kashiwa,柏市,千葉県,実装済,,92
narita,成田市,千葉県,実装済,,190
sakura,佐倉市,千葉県,未実装,グループ2,200
yamane,山武市,千葉県,未実装,グループ2,290
yotsukaido,四街道市,千葉県,実装済,,265
tateyama,館山市,千葉県,未実装,グループ2,280
kamogawa,鴨川市,千葉県,未実装,グループ2,285
minamibouso,南房総市,千葉県,実装済,,310
katsuura,勝浦市,千葉県,未実装,グループ2,300
futtsu,富津市,千葉県,未実装,グループ2,275
chiyoda,千代田区,東京都,実装済,,32
chuo_ku,中央区,東京都,実装済,,33
minato_ku,港区,東京都,実装済,,30
shinjuku,新宿区,東京都,実装済,,22
shibuya,渋谷区,東京都,実装済,,34
taito,台東区,東京都,実装済,,35
sumida,墨田区,東京都,実装済,,36
arakawa,荒川区,東京都,実装済,,38
adachi,足立区,東京都,実装済,,16
katsushika,葛飾区,東京都,実装済,,24
edogawa,江戸川区,東京都,実装済,,20
bunkyo,文京区,東京都,実装済,,37
toshima,豊島区,東京都,実装済,,39
kita_ku,北区,東京都,実装済,,40
nakano,中野区,東京都,実装済,,25
suginami,杉並区,東京都,実装済,,19
setagaya,世田谷区,東京都,実装済,,6
ota_ku,大田区,東京都,実装済,,14
shinagawa,品川区,東京都,実装済,,23
meguro,目黒区,東京都,実装済,,31
koto_ku,江東区,東京都,実装済,,18
tachikawa,立川市,東京都,実装済,,115
kodaira,小平市,東京都,未実装,グループ2,155
koganei,小金井市,東京都,未実装,グループ2,215
hachioji,八王子市,東京都,実装済,,46
higashimurayama,東村山市,東京都,実装済,,235
higashikurume,東久留米市,東京都,実装済,,260
nishitokyo,西東京市,東京都,実装済,,165
fuchu,府中市,東京都,実装済,,145
komae,狛江市,東京都,実装済,,280
chofu,調布市,東京都,実装済,,170
machida,町田市,東京都,実装済,,90
akishima,昭島市,東京都,実装済,,250
akiruno,あきる野市,東京都,実装済,,290
hamura,羽村市,東京都,未実装,グループ2,300
fukutoshin,福生市,東京都,未実装,グループ2,305
kunitachi,国立市,東京都,実装済,,295
musashino,武蔵野市,東京都,実装済,,175
mitaka,三鷹市,東京都,実装済,,160
kokubunji,国分寺市,東京都,実装済,,220
ome,青梅市,東京都,実装済,,225
tama,多摩市,東京都,実装済,,240
mizuho,瑞穂町,東京都,実装済,,315
okutama,奥多摩町,東京都,実装済,,320
yokohama,横浜市,神奈川県,実装済,,2
kawasaki,川崎市,神奈川県,実装済,,27
yokosuka,横須賀市,神奈川県,未実装,グループ2,155
kamakura,鎌倉市,神奈川県,未実装,グループ2,180
sagamihara,相模原市,神奈川県,実装済,,52
atsugi,厚木市,神奈川県,実装済,,175
chigasaki,茅ヶ崎市,神奈川県,実装済,,205
ebina,海老名市,神奈川県,実装済,,210
isehara,伊勢原市,神奈川県,未実装,グループ2,235
yamato,大和市,神奈川県,実装済,,160
fujisawa,藤沢市,神奈川県,実装済,,115
ayase,綾瀬市,神奈川県,実装済,,265
zushi,逗子市,神奈川県,実装済,,295
hakone,箱根町,神奈川県,未実装,グループ3,320
hayama,葉山町,神奈川県,未実装,グループ3,325
yugawara,湯河原町,神奈川県,実装済,,330
manazuru,真鶴町,神奈川県,未実装,グループ3,335
oiso,大磯町,神奈川県,未実装,グループ3,328
ninomiya,二宮町,神奈川県,未実装,グループ3,327
nakai,中井町,神奈川県,未実装,グループ3,329
matsuda,松田町,神奈川県,未実装,グループ3,332
yamakita,山北町,神奈川県,未実装,グループ3,334
kiyokawa,清川村,神奈川県,未実装,グループ3,340
hadano,秦野市,神奈川県,未実装,グループ3,215
minamiashigara,南足柄市,神奈川県,実装済,,285
kaisei,開成町,神奈川県,未実装,グループ3,336
odawara,小田原市,神奈川県,実装済,,135
niigata,新潟市,新潟県,実装済,,48
nagaoka,長岡市,新潟県,実装済,,135
kashiwazaki,柏崎市,新潟県,未実装,グループ3,195
joetsu,上越市,新潟県,実装済,,155
itoigawa,糸魚川市,新潟県,未実装,グループ3,260
myoko,妙高市,新潟県,未実装,グループ3,275
murakami,村上市,新潟県,未実装,グループ3,285
sado,佐渡市,新潟県,未実装,グループ3,290
tainai,胎内市,新潟県,未実装,グループ3,300
gosen,五泉市,新潟県,未実装,グループ3,270
tomoe,十日町市,新潟県,未実装,グループ3,255
minamiuonuma,南魚沼市,新潟県,実装済,,280
agano,阿賀野市,新潟県,実装済,,265
toyama,富山市,富山県,実装済,,175
takaoka,高岡市,富山県,未実装,グループ3,215
imizu,射水市,富山県,未実装,グループ3,230
nanto,南砺市,富山県,未実装,グループ3,255
kurobebe,黒部市,富山県,未実装,グループ3,235
oyabe,小矢部市,富山県,未実装,グループ3,285
kanazawa,金沢市,石川県,実装済,,115
komatsu,小松市,石川県,未実装,グループ3,195
wajima,輪島市,石川県,実装済,,275
hakui,白山市,石川県,未実装,グループ3,185
kaga,加賀市,石川県,未実装,グループ3,215
suzu,珠洲市,石川県,未実装,グループ3,305
nomi,能美市,石川県,未実装,グループ3,240
fukui,福井市,福井県,実装済,,215
katsuyama,勝山市,福井県,未実装,グループ3,280
sabae,鯖江市,福井県,実装済,,240
takefu,武生市,福井県,実装済,,255
tsuruga,敦賀市,福井県,実装済,,245
awara,あわら市,福井県,未実装,グループ3,270
ono,大野市,福井県,未実装,グループ3,285
echizen,越前市,福井県,実装済,,250
obama,小浜市,福井県,実装済,,290
kofu,甲府市,山梨県,未実装,グループ3,215
fuefuki,笛吹市,山梨県,未実装,グループ3,215
nirasaki,韮崎市,山梨県,未実装,グループ3,265
hokuto,北杜市,山梨県,未実装,グループ3,260
kai,甲斐市,山梨県,実装済,,255
minami_alps,南アルプス市,山梨県,未実装,グループ3,270
chuo,中央市,山梨県,未実装,グループ3,285
tsuru,都留市,山梨県,未実装,グループ3,275
otsuki,大月市,山梨県,未実装,グループ3,280
nagano,長野市,長野県,実装済,,175
matsumoto,松本市,長野県,実装済,,145
ueda,上田市,長野県,実装済,,180
iida,飯田市,長野県,未実装,グループ3,215
komoro,小諸市,長野県,実装済,,260
chino,茅野市,長野県,未実装,グループ3,240
shiojiri,塩尻市,長野県,未実装,グループ3,245
ina,伊那市,長野県,実装済,,250
nakano,中野市,長野県,未実装,グループ3,270
suzaka,須坂市,長野県,実装済,,255
okaya,岡谷市,長野県,未実装,グループ3,265
gifu,岐阜市,岐阜県,実装済,,180
takayama,高山市,岐阜県,未実装,グループ3,240
tajimi,多治見市,岐阜県,未実装,グループ3,215
gujo,郡上市,岐阜県,未実装,グループ3,265
hashima,羽島市,岐阜県,未実装,グループ3,245
mino,美濃市,岐阜県,未実装,グループ3,280
seki,関市,岐阜県,未実装,グループ3,215
nakatsugawa,中津川市,岐阜県,未実装,グループ3,235
toki,土岐市,岐阜県,未実装,グループ3,255
kakamigahara,各務原市,岐阜県,実装済,,155
ogaki,大垣市,岐阜県,実装済,,160
gero,下呂市,岐阜県,未実装,グループ3,270
yamagata,山県市,岐阜県,未実装,グループ3,285
enzan,恵那市,岐阜県,未実装,グループ3,250
shizuoka,静岡市,静岡県,実装済,,78
hamamatsu,浜松市,静岡県,実装済,,68
fuji,富士市,静岡県,実装済,,195
numazu,沼津市,静岡県,実装済,,215
shimada,島田市,静岡県,未実装,グループ1,235
yaizu,焼津市,静岡県,未実装,グループ1,245
kakegawa,掛川市,静岡県,実装済,,215
iwata,磐田市,静岡県,未実装,グループ1,210
gotemba,御殿場市,静岡県,未実装,グループ1,255
fukuroi,袋井市,静岡県,未実装,グループ1,225
izu,伊豆市,静岡県,未実装,グループ1,270
atami,熱海市,静岡県,未実装,グループ1,280
ito,伊東市,静岡県,未実装,グループ1,265
omaezaki,御前崎市,静岡県,未実装,グループ1,285
kosai,湖西市,静岡県,未実装,グループ1,260
kikugawa,菊川市,静岡県,未実装,グループ1,275
mori,森町,静岡県,未実装,グループ1,350
kawanehon,川根本町,静岡県,未実装,グループ1,360
nagoya,名古屋市,愛知県,実装済,,4
toyota,豊田市,愛知県,実装済,,97
toyohashi,豊橋市,愛知県,実装済,,125
okazaki,岡崎市,愛知県,実装済,,130
ichinomiya,一宮市,愛知県,実装済,,137
gamagori,蒲郡市,愛知県,未実装,グループ1,240
toyokawa,豊川市,愛知県,実装済,,205
kasugai,春日井市,愛知県,実装済,,160
inuyama,犬山市,愛知県,実装済,,240
komaki,小牧市,愛知県,実装済,,190
anjo,安城市,愛知県,実装済,,205
nishio,西尾市,愛知県,実装済,,210
kariya,刈谷市,愛知県,実装済,,220
miyoshi,みよし市,愛知県,実装済,,265
tahara,田原市,愛知県,実装済,,285
chiryuu,知立市,愛知県,実装済,,255
aisai,愛西市,愛知県,実装済,,275
kanie,蟹江町,愛知県,未実装,グループ1,365
tokai_aichi,東海市,愛知県,実装済,,220
taketoyo,武豊町,愛知県,未実装,グループ1,360
owariasahi,尾張旭市,愛知県,実装済,,260
nagakute,長久手市,愛知県,実装済,,255
mihama_aichi,美浜町,愛知県,未実装,グループ1,370
agui,阿久比町,愛知県,実装済,,372
chita,知多市,愛知県,実装済,,215
konan_aichi,江南市,愛知県,実装済,,235
seto,瀬戸市,愛知県,実装済,,235
shinshiro,新城市,愛知県,実装済,,275
toyoake,豊明市,愛知県,実装済,,275
fuso,扶桑町,愛知県,実装済,,375
tsu,津市,三重県,実装済,,165
yokkaichi,四日市市,三重県,実装済,,112
ise,伊勢市,三重県,未実装,グループ1,210
matsusaka,松阪市,三重県,未実装,グループ1,195
kuwana,桑名市,三重県,実装済,,225
toba,鳥羽市,三重県,未実装,グループ1,295
shima,志摩市,三重県,未実装,グループ1,285
iga,伊賀市,三重県,未実装,グループ1,220
kameyama,亀山市,三重県,未実装,グループ1,265
suzuka,鈴鹿市,三重県,実装済,,190
otsu,大津市,滋賀県,実装済,,175
hikone,彦根市,滋賀県,実装済,,210
nagahama,長浜市,滋賀県,実装済,,220
omihachiman,近江八幡市,滋賀県,実装済,,225
kusatsu,草津市,滋賀県,実装済,,215
moriyama_shiga,守山市,滋賀県,実装済,,240
yasu,野洲市,滋賀県,実装済,,235
konan_shiga,甲賀市,滋賀県,実装済,,245
takashima,高島市,滋賀県,実装済,,270
hino_shiga,日野町,滋賀県,未実装,グループ2,370
taga,多賀町,滋賀県,未実装,グループ2,375
kyoto,京都市,京都府,実装済,,33
uji,宇治市,京都府,実装済,,180
nantan,南丹市,京都府,実装済,,265
nagaokakyo,長岡京市,京都府,実装済,,255
kameoka,亀岡市,京都府,実装済,,225
kyotanabe,京田辺市,京都府,実装済,,245
ayabe,綾部市,京都府,実装済,,260
fukuchiyama,福知山市,京都府,実装済,,235
kyotango,京丹後市,京都府,実装済,,280
maizuru,舞鶴市,京都府,実装済,,245
kyotamba,京丹波町,京都府,未実装,グループ2,380
seika,精華町,京都府,未実装,グループ2,385
wazuka,和束町,京都府,未実装,グループ2,390
minami_yamashiro,南山城村,京都府,未実装,グループ2,395
yosano,与謝野町,京都府,未実装,グループ2,392
osaka,大阪市,大阪府,実装済,,3
higashiosaka,東大阪市,大阪府,実装済,,104
toyonaka,豊中市,大阪府,実装済,,128
yao,八尾市,大阪府,実装済,,132
kashiwara,柏原市,大阪府,未実装,グループ2,240
daito,大東市,大阪府,実装済,,215
settsu,摂津市,大阪府,未実装,グループ2,250
neyagawa,寝屋川市,大阪府,実装済,,205
kadoma,門真市,大阪府,実装済,,220
moriguchi,守口市,大阪府,実装済,,230
osaka_izumi,和泉市,大阪府,実装済,,215
izumiotsu,泉大津市,大阪府,未実装,グループ2,260
izumisano,泉佐野市,大阪府,未実装,グループ2,235
kishiwada,岸和田市,大阪府,実装済,,190
suita,吹田市,大阪府,実装済,,140
sennan,泉南市,大阪府,未実装,グループ2,260
sakai,堺市,大阪府,実装済,,72
hannan,阪南市,大阪府,未実装,グループ2,265
hirakata,枚方市,大阪府,実装済,,98
tondabayashi,富田林市,大阪府,未実装,グループ2,225
osaka_sayama,大阪狭山市,大阪府,実装済,,280
matsubara,松原市,大阪府,未実装,グループ2,245
kanan,河南町,大阪府,未実装,グループ2,400
tajiri,田尻町,大阪府,未実装,グループ2,405
kumatori,熊取町,大阪府,実装済,,398
misaki,岬町,大阪府,未実装,グループ2,410
toyono,豊能町,大阪府,未実装,グループ2,415
nose,能勢町,大阪府,未実装,グループ2,420
shijonawate,四條畷市,大阪府,実装済,,270
ikeda,池田市,大阪府,実装済,,210
kobe,神戸市,兵庫県,実装済,,9
himeji,姫路市,兵庫県,実装済,,129
amagasaki,尼崎市,兵庫県,実装済,,101
nishinomiya,西宮市,兵庫県,実装済,,102
ashiya,芦屋市,兵庫県,未実装,グループ2,260
akashi,明石市,兵庫県,実装済,,195
kawanishi,川西市,兵庫県,実装済,,215
takarazuka,宝塚市,兵庫県,実装済,,180
takasago,高砂市,兵庫県,未実装,グループ2,245
kato,加東市,兵庫県,未実装,グループ2,270
kakogawa,加古川市,兵庫県,実装済,,205
itami,伊丹市,兵庫県,実装済,,225
sanda,三田市,兵庫県,未実装,グループ2,240
sumoto,洲本市,兵庫県,実装済,,275
awaji,淡路市,兵庫県,実装済,,280
minamiawaji,南あわじ市,兵庫県,実装済,,285
inami_hyogo,稲美町,兵庫県,未実装,グループ2,425
ako,赤穂市,兵庫県,実装済,,265
shiso,宍粟市,兵庫県,未実装,グループ2,290
tatsuno,竜野市,兵庫県,未実装,グループ2,295
miki,三木市,兵庫県,未実装,グループ2,250
harima,播磨町,兵庫県,未実装,グループ2,430
taishi_h,太子町,兵庫県,実装済,,435
toyooka,豊岡市,兵庫県,実装済,,240
asago,朝来市,兵庫県,実装済,,270
ono_hyogo,小野市,兵庫県,実装済,,255
nishi_harima,佐用町,兵庫県,未実装,グループ2,440
mikata_h,新温泉町,兵庫県,未実装,グループ2,445
kamigori,上郡町,兵庫県,未実装,グループ2,450
ichikawa_h,市川町,兵庫県,実装済,,455
nishiwaki,西脇市,兵庫県,実装済,,275
nara,奈良市,奈良県,実装済,,225
yamatokoriyama,大和郡山市,奈良県,実装済,,255
yamatotakada,大和高田市,奈良県,実装済,,270
gojo,五條市,奈良県,実装済,,290
ikoma,生駒市,奈良県,実装済,,235
kashihara,橿原市,奈良県,実装済,,215
sakurai_nara,桜井市,奈良県,実装済,,265
tenri,天理市,奈良県,実装済,,245
uda,宇陀市,奈良県,実装済,,280
yoshino_nara,吉野町,奈良県,未実装,グループ2,460
tawaramoto,田原本町,奈良県,未実装,グループ2,465
tenkawa,天川村,奈良県,未実装,グループ2,470
wakayama,和歌山市,和歌山県,実装済,,210
hashimoto_wakayama,橋本市,和歌山県,実装済,,260
arida,有田市,和歌山県,実装済,,280
gobo,御坊市,和歌山県,実装済,,290
kinokawa,紀の川市,和歌山県,実装済,,265
kainan,海南市,和歌山県,実装済,,245
shingu,新宮市,和歌山県,未実装,グループ2,295
koya,高野町,和歌山県,未実装,グループ2,475
shirahama,白浜町,和歌山県,未実装,グループ2,480
taiji,太地町,和歌山県,未実装,グループ2,485
nachikatsuura,那智勝浦町,和歌山県,未実装,グループ2,482
kuminokani,串本町,和歌山県,未実装,グループ2,490
yusui,湯浅町,和歌山県,未実装,グループ2,495
yurada,由良町,和歌山県,未実装,グループ2,500
mihama_w,美浜町,和歌山県,未実装,グループ2,505
tottori,鳥取市,鳥取県,実装済,,250
yonago,米子市,鳥取県,未実装,グループ2,265
kurayoshi,倉吉市,鳥取県,未実装,グループ2,275
sakaiminato,境港市,鳥取県,未実装,グループ2,285
matsue,松江市,島根県,実装済,,215
izumo,出雲市,島根県,未実装,グループ2,235
masuda,益田市,島根県,未実装,グループ2,275
hamada,浜田市,島根県,未実装,グループ2,270
gotsu,江津市,島根県,未実装,グループ2,290
yasugi,安来市,島根県,未実装,グループ2,265
unnan,雲南市,島根県,未実装,グループ2,280
oda,大田市,島根県,未実装,グループ2,295
okayama,岡山市,岡山県,実装済,,155
kurashiki,倉敷市,岡山県,実装済,,165
tsuyama,津山市,岡山県,未実装,グループ2,235
takahashi,高梁市,岡山県,未実装,グループ2,275
kasaoka,笠岡市,岡山県,未実装,グループ2,245
ibara,井原市,岡山県,未実装,グループ2,280
setouchi,瀬戸内市,岡山県,未実装,グループ2,285
asakuishi,浅口市,岡山県,未実装,グループ2,265
mimasaka,美作市,岡山県,未実装,グループ2,290
agao,赤磐市,岡山県,未実装,グループ2,270
hinase,備前市,岡山県,未実装,グループ2,255
hiroshima,広島市,広島県,実装済,,26
kure,呉市,広島県,実装済,,220
takehara,竹原市,広島県,未実装,グループ2,265
onomichi,尾道市,広島県,実装済,,205
fukuyama,福山市,広島県,実装済,,142
mihara,三原市,広島県,未実装,グループ3,255
ouchu,大竹市,広島県,未実装,グループ3,275
yasuu,安芸高田市,広島県,未実装,グループ3,280
higashihiroshima,東広島市,広島県,実装済,,200
miyoshi,三次市,広島県,未実装,グループ3,270
akitakata,庄原市,広島県,未実装,グループ3,285
aki_takata,安芸高田市,広島県,実装済,,280
yamaguchi,山口市,山口県,実装済,,215
shimonoseki,下関市,山口県,実装済,,210
ube,宇部市,山口県,実装済,,230
sanyo_onoda,山陽小野田市,山口県,未実装,グループ3,270
shonai,防府市,山口県,未実装,グループ3,240
iwakuni,岩国市,山口県,未実装,グループ3,225
yanai,柳井市,山口県,未実装,グループ3,275
hagi,萩市,山口県,未実装,グループ3,280
tokuyo,下松市,山口県,未実装,グループ3,260
hikari,光市,山口県,未実装,グループ3,265
kaminoseki,上関町,山口県,未実装,グループ3,530
fujimi_y,平生町,山口県,未実装,グループ3,535
tokushima,徳島市,徳島県,実装済,,215
komatsushima,小松島市,徳島県,未実装,グループ3,245
asakuchi,阿南市,徳島県,未実装,グループ3,255
mima,美馬市,徳島県,未実装,グループ3,270
sanyo,三好市,徳島県,未実装,グループ3,280
takamatsu,高松市,香川県,実装済,,210
marugame,丸亀市,香川県,実装済,,235
sakaide,坂出市,香川県,未実装,グループ3,250
mitoyo,三豊市,香川県,未実装,グループ3,260
kan_onji,観音寺市,香川県,未実装,グループ3,275
zentsu,善通寺市,香川県,未実装,グループ3,280
sanuki,さぬき市,香川県,未実装,グループ3,270
ayagawa,綾川町,香川県,未実装,グループ3,540
kogawa,琴平町,香川県,未実装,グループ3,545
naoshima,直島町,香川県,未実装,グループ3,550
teshima,豊島町,香川県,未実装,グループ3,555
shodoshima,小豆島町,香川県,未実装,グループ3,560
matsuyama,松山市,愛媛県,実装済,,155
imabari,今治市,愛媛県,実装済,,195
uwajima,宇和島市,愛媛県,未実装,グループ3,235
yawatahama,八幡浜市,愛媛県,未実装,グループ3,260
niihama,新居浜市,愛媛県,実装済,,220
saijyo,西条市,愛媛県,実装済,,210
kumakogen,久万高月町,愛媛県,未実装,グループ3,565
kihoku,鬼北町,愛媛県,未実装,グループ3,570
iyokawacho,いよ町,愛媛県,未実装,グループ3,575
shikokuchuo,四国中央市,愛媛県,実装済,,240
toon,東温市,愛媛県,実装済,,255
iyo,伊予市,愛媛県,未実装,グループ3,265
kochi,高知市,高知県,実装済,,215
nankoku,南国市,高知県,未実装,グループ3,245
kochi_kagu,香美市,高知県,未実装,グループ3,270
ino,いの町,高知県,未実装,グループ3,580
yusuhara,越知町,高知県,未実装,グループ3,585
shimanto,四万十町,高知県,未実装,グループ3,590
kaminokichi,佐川町,高知県,未実装,グループ3,595
yasumatsu,須崎市,高知県,未実装,グループ3,280
konan,香南市,高知県,未実装,グループ3,260
muroto,室戸市,高知県,未実装,グループ3,290
fukuoka,福岡市,福岡県,実装済,,12
kitakyushu,北九州市,福岡県,実装済,,86
yame,八女市,福岡県,未実装,グループ1,245
chikugo,筑後市,福岡県,未実装,グループ1,265
yanagawa,柳川市,福岡県,未実装,グループ1,255
okawa,大川市,福岡県,未実装,グループ1,270
kurume,久留米市,福岡県,実装済,,140
kasuga,春日市,福岡県,未実装,グループ1,225
dazaifu,太宰府市,福岡県,未実装,グループ1,235
miyama,宮若市,福岡県,未実装,グループ1,275
tagawa,田川市,福岡県,未実装,グループ1,260
omuta,大牟田市,福岡県,未実装,グループ1,230
yukuhashi,行橋市,福岡県,未実装,グループ1,240
nakama,中間市,福岡県,未実装,グループ1,265
chikushino,筑紫野市,福岡県,未実装,グループ1,240
iizuka,飯塚市,福岡県,未実装,グループ1,215
asakura,朝倉市,福岡県,未実装,グループ1,250
kama,嘉麻市,福岡県,未実装,グループ1,270
onojo,小野城市,福岡県,未実装,グループ1,280
munakata,宗像市,福岡県,未実装,グループ1,255
chikuzen,筑前町,福岡県,未実装,グループ1,600
ukiha,浮羽町,福岡県,未実装,グループ1,605
saga,佐賀市,佐賀県,実装済,,205
karatsu,唐津市,佐賀県,未実装,グループ1,220
takeo,武雄市,佐賀県,未実装,グループ1,255
tosu,鳥栖市,佐賀県,未実装,グループ1,240
ogi,小城市,佐賀県,未実装,グループ1,270
imari,伊万里市,佐賀県,未実装,グループ1,250
kasima,鹿島市,佐賀県,未実装,グループ1,280
saga_central,嬉野市,佐賀県,未実装,グループ1,275
fukusaki,福祉町,佐賀県,未実装,グループ1,610
yoshii,吉野ヶ里町,佐賀県,未実装,グループ1,615
kiyama,基山町,佐賀県,未実装,グループ1,620
