city_id,市名,都道府県,実装状態
chiyoda,千代田区,東京都,実装済
chuo_ku,中央区,東京都,実装済
minato_ku,港区,東京都,実装済
shinjuku,新宿区,東京都,実装済
bunkyo,文京区,東京都,実装済
taito,台東区,東京都,実装済
sumida,墨田区,東京都,実装済
koto_ku,江東区,東京都,実装済
shinagawa,品川区,東京都,実装済
meguro,目黒区,東京都,実装済
ota_ku,大田区,東京都,実装済
setagaya,世田谷区,東京都,実装済
shibuya,渋谷区,東京都,実装済
nakano,中野区,東京都,実装済
suginami,杉並区,東京都,実装済
toshima,豊島区,東京都,実装済
kita_ku,北区,東京都,実装済
arakawa,荒川区,東京都,実装済
itabashi,板橋区,東京都,実装済
nerima,練馬区,東京都,実装済
adachi,足立区,東京都,実装済
katsushika,葛飾区,東京都,実装済
edogawa,江戸川区,東京都,実装済
hachioji,八王子市,東京都,実装済
tachikawa,立川市,東京都,実装済
musashino,武蔵野市,東京都,実装済
mitaka,三鷹市,東京都,実装済
ome,青梅市,東京都,実装済
fuchu,府中市,東京都,実装済
akishima,昭島市,東京都,実装済
chofu,調布市,東京都,実装済
machida,町田市,東京都,実装済
koganei,小金井市,東京都,実装済
kodaira,小平市,東京都,実装済
hino,日野市,東京都,実装済
higashimurayama,東村山市,東京都,実装済
kokubunji,国分寺市,東京都,実装済
kunitachi,国立市,東京都,実装済
fussa,福生市,東京都,実装済
komae,狛江市,東京都,実装済
higashiyamato,東大和市,東京都,実装済
kiyose,清瀬市,東京都,実装済
higashikurume,東久留米市,東京都,実装済
musashimurayama,武蔵村山市,東京都,実装済
tama,多摩市,東京都,実装済
inagi,稲城市,東京都,実装済
hamura,羽村市,東京都,実装済
akiruno,あきる野市,東京都,実装済
mizuho,瑞穂町,東京都,実装済
hinode,日の出町,東京都,実装済
hinohara,檜原村,東京都,実装済
okutama,奥多摩町,東京都,実装済
yokohama,横浜市,神奈川県,実装済
kawasaki,川崎市,神奈川県,実装済
sagamihara,相模原市,神奈川県,実装済
yokosuka,横須賀市,神奈川県,実装済
hiratsuka,平塚市,神奈川県,実装済
kamakura,鎌倉市,神奈川県,実装済
fujisawa,藤沢市,神奈川県,実装済
odawara,小田原市,神奈川県,実装済
chigasaki,茅ヶ崎市,神奈川県,実装済
toishi,逗子市,神奈川県,未実装
miura,三浦市,神奈川県,実装済
hadano,秦野市,神奈川県,実装済
atsugi,厚木市,神奈川県,実装済
yamato,大和市,神奈川県,実装済
isehara,伊勢原市,神奈川県,実装済
ebina,海老名市,神奈川県,実装済
zama,座間市,神奈川県,実装済
minamiashigara,南足柄市,神奈川県,実装済
ayase,綾瀬市,神奈川県,実装済
hayama,葉山町,神奈川県,実装済
samukawa,寒川町,神奈川県,実装済
oiso,大磯町,神奈川県,実装済
ninomiya,二宮町,神奈川県,実装済
nakai,中井町,神奈川県,実装済
oi,大井町,神奈川県,実装済
matsuda,松田町,神奈川県,実装済
yamakita,山北町,神奈川県,実装済
kaisei,開成町,神奈川県,実装済
hakone,箱根町,神奈川県,実装済
manazuru,真鶴町,神奈川県,実装済
yugawara,湯河原町,神奈川県,実装済
niigata,新潟市,新潟県,実装済
nagaoka,長岡市,新潟県,実装済
sanjo,三条市,新潟県,未実装
kashiwazaki,柏崎市,新潟県,未実装
shibata,新発田市,新潟県,未実装
ojiya,小千谷市,新潟県,未実装
kamo,加茂市,新潟県,未実装
tokamachi,十日町市,新潟県,未実装
mitsuke,見附市,新潟県,未実装
murakami,村上市,新潟県,未実装
tsubame,燕市,新潟県,未実装
itoigawa,糸魚川市,新潟県,未実装
myoko,妙高市,新潟県,未実装
gosen,五泉市,新潟県,未実装
joetsu,上越市,新潟県,実装済
agano,阿賀野市,新潟県,未実装
minamiuonuma,南魚沼市,新潟県,未実装
toyama,富山市,富山県,実装済
takaoka,高岡市,富山県,実装済
uozu,魚津市,富山県,未実装
himi,氷見市,富山県,未実装
namerikawa,滑川市,富山県,未実装
kurobe,黒部市,富山県,未実装
tonami,砺波市,富山県,未実装
nanto,南砺市,富山県,未実装
imizu,射水市,富山県,未実装
kanazawa,金沢市,石川県,実装済
nanao,七尾市,石川県,未実装
komatsu,小松市,石川県,実装済
wajima,輪島市,石川県,実装済
suzu,珠洲市,石川県,未実装
kaga,加賀市,石川県,未実装
hakui,羽咋市,石川県,未実装
kahoku,かほく市,石川県,未実装
hakusan,白山市,石川県,未実装
nomi,能美市,石川県,未実装
nonoichi,野々市市,石川県,未実装
fukui,福井市,福井県,実装済
tsuruga,敦賀市,福井県,実装済
obama,小浜市,福井県,実装済
ono,大野市,福井県,未実装
katsuyama,勝山市,福井県,未実装
sabae,鯖江市,福井県,実装済
awara,あわら市,福井県,未実装
echizen,越前市,福井県,実装済
kofu,甲府市,山梨県,実装済
fujiyoshida,富士吉田市,山梨県,未実装
tsuru,都留市,山梨県,未実装
yamanashi,山梨市,山梨県,未実装
otsuki,大月市,山梨県,未実装
nirasaki,韮崎市,山梨県,未実装
minami_alps,南アルプス市,山梨県,未実装
hokuto,北杜市,山梨県,未実装
kai,甲斐市,山梨県,実装済
usui,笛吹市,山梨県,未実装
koshu,甲州市,山梨県,未実装
chuo,中央市,山梨県,未実装
nagano,長野市,長野県,実装済
matsumoto,松本市,長野県,実装済
ueda,上田市,長野県,実装済
okaya,岡谷市,長野県,未実装
iida,飯田市,長野県,実装済
suwa,諏訪市,長野県,未実装
suzaka,須坂市,長野県,実装済
komoro,小諸市,長野県,実装済
ina,伊那市,長野県,実装済
komagane,駒ヶ根市,長野県,未実装
nakano,中野市,長野県,実装済
omachi,大町市,長野県,未実装
iiyama,飯山市,長野県,未実装
chino,茅野市,長野県,未実装
shiojiri,塩尻市,長野県,未実装
saku,佐久市,長野県,未実装
chikuma,千曲市,長野県,未実装
tomi,東御市,長野県,未実装
azumino,安曇野市,長野県,未実装
gifu,岐阜市,岐阜県,実装済
ogaki,大垣市,岐阜県,実装済
takayama,高山市,岐阜県,未実装
tajimi,多治見市,岐阜県,未実装
seki,関市,岐阜県,未実装
nakatsugawa,中津川市,岐阜県,未実装
mino,美濃市,岐阜県,実装済
mizunami,瑞浪市,岐阜県,未実装
hashima,羽島市,岐阜県,未実装
ena,恵那市,岐阜県,未実装
minokamo,美濃加茂市,岐阜県,未実装
toki,土岐市,岐阜県,未実装
kakamigahara,各務原市,岐阜県,未実装
kani,可児市,岐阜県,実装済
yamashiro,山県市,岐阜県,未実装
mizuho,瑞穂市,岐阜県,実装済
hida,飛騨市,岐阜県,未実装
motosu,本巣市,岐阜県,未実装
gujō,郡上市,岐阜県,未実装
gero,下呂市,岐阜県,未実装
kaizu,海津市,岐阜県,未実装
shizuoka,静岡市,静岡県,実装済
hamamatsu,浜松市,静岡県,実装済
numazu,沼津市,静岡県,実装済
atami,熱海市,静岡県,未実装
mishima,三島市,静岡県,未実装
fujinomiya,富士宮市,静岡県,未実装
ito,伊東市,静岡県,未実装
shimada,島田市,静岡県,未実装
fuji,富士市,静岡県,実装済
yaizu,焼津市,静岡県,未実装
kakegawa,掛川市,静岡県,未実装
fujieda,藤枝市,静岡県,未実装
gotemba,御殿場市,静岡県,未実装
fukuroi,袋井市,静岡県,未実装
shimoda,下田市,静岡県,未実装
susono,裾野市,静岡県,未実装
kosai,湖西市,静岡県,未実装
izu,伊豆市,静岡県,未実装
omaezaki,御前崎市,静岡県,未実装
kikugawa,菊川市,静岡県,未実装
izunokuni,伊豆の国市,静岡県,未実装
makinohara,牧之原市,静岡県,未実装
nagoya,名古屋市,愛知県,実装済
toyohashi,豊橋市,愛知県,実装済
okazaki,岡崎市,愛知県,実装済
ichinomiya,一宮市,愛知県,実装済
seto,瀬戸市,愛知県,実装済
handa,半田市,愛知県,実装済
kasugai,春日井市,愛知県,実装済
toyokawa,豊川市,愛知県,実装済
tsushima,津島市,愛知県,実装済
hekinan,碧南市,愛知県,実装済
kariya,刈谷市,愛知県,実装済
toyota,豊田市,愛知県,実装済
anjo,安城市,愛知県,実装済
nishio,西尾市,愛知県,実装済
gamagori,蒲郡市,愛知県,実装済
inuyama,犬山市,愛知県,実装済
tokoname,常滑市,愛知県,実装済
konan_aichi,江南市,愛知県,実装済
shinshiro,新城市,愛知県,実装済
tokai_aichi,東海市,愛知県,実装済
obu,大府市,愛知県,実装済
chita,知多市,愛知県,実装済
chiryu,知立市,愛知県,実装済
owariasahi,尾張旭市,愛知県,実装済
takahama,高浜市,愛知県,実装済
iwakura,岩倉市,愛知県,実装済
toyoake,豊明市,愛知県,実装済
nishin,日進市,愛知県,未実装
tahara,田原市,愛知県,実装済
aisai,愛西市,愛知県,実装済
kiyosu,清須市,愛知県,実装済
kitanagoya,北名古屋市,愛知県,実装済
yatomi,弥富市,愛知県,実装済
miyoshi,みよし市,愛知県,実装済
ama,あま市,愛知県,実装済
nagakute,長久手市,愛知県,実装済
tsu,津市,三重県,実装済
yokkaichi,四日市市,三重県,実装済
ise,伊勢市,三重県,未実装
matsusaka,松阪市,三重県,未実装
kuwana,桑名市,三重県,実装済
suzuka,鈴鹿市,三重県,実装済
nabari,名張市,三重県,未実装
owase,尾鲿市,三重県,未実装
kameyama,亀山市,三重県,未実装
toba,鳥羽市,三重県,未実装
kumano,熊野市,三重県,未実装
inabe,いなべ市,三重県,未実装
shima,志摩市,三重県,未実装
iga,伊賀市,三重県,未実装
otsu,大津市,滋賀県,実装済
hikone,彦根市,滋賀県,実装済
nagahama,長浜市,滋賀県,実装済
omihachiman,近江八幡市,滋賀県,実装済
kusatsu,草津市,滋賀県,実装済
moriyama_shiga,守山市,滋賀県,実装済
ritto,栗東市,滋賀県,実装済
koka,甲賀市,滋賀県,実装済
yasu,野洲市,滋賀県,実装済
konan_shiga,湖南市,滋賀県,実装済
takashima,高島市,滋賀県,実装済
maibara,米原市,滋賀県,実装済
hino_shiga,日野町,滋賀県,実装済
ryuou,竜王町,滋賀県,実装済
higashiomi,東近江市,滋賀県,実装済
kyoto,京都市,京都府,実装済
fukuchiyama,福知山市,京都府,実装済
maizuru,舞鶴市,京都府,実装済
ayabe,綾部市,京都府,実装済
uji,宇治市,京都府,実装済
miyazu,宮津市,京都府,実装済
kameoka,亀岡市,京都府,実装済
joyo,城陽市,京都府,実装済
muko,向日市,京都府,実装済
nagaokakyo,長岡京市,京都府,実装済
yawata,八幡市,京都府,実装済
kyotanabe,京田辺市,京都府,実装済
kyotango,京丹後市,京都府,実装済
nantan,南丹市,京都府,実装済
kizugawa,木津川市,京都府,実装済
osaka,大阪市,大阪府,実装済
sakai,堺市,大阪府,実装済
kishiwada,岸和田市,大阪府,実装済
toyonaka,豊中市,大阪府,実装済
ikeda,池田市,大阪府,実装済
suita,吹田市,大阪府,実装済
izumiotsu,泉大津市,大阪府,実装済
takatsuki,高槻市,大阪府,実装済
kaizuka,貝塚市,大阪府,実装済
moriguchi,守口市,大阪府,実装済
hirakata,枚方市,大阪府,実装済
ibaraki,茨木市,大阪府,実装済
yao,八尾市,大阪府,実装済
izumisano,泉佐野市,大阪府,実装済
tondabayashi,富田林市,大阪府,実装済
neyagawa,寝屋川市,大阪府,実装済
kawachinagano,河内長野市,大阪府,実装済
matsubara,松原市,大阪府,実装済
daito,大東市,大阪府,実装済
izumi,和泉市,大阪府,未実装
minoh,箕面市,大阪府,実装済
kashiwara,柏原市,大阪府,実装済
habikino,羽曳野市,大阪府,実装済
kadoma,門真市,大阪府,実装済
settsu,摂津市,大阪府,実装済
takaishi,高石市,大阪府,実装済
fujiidera,藤井寺市,大阪府,実装済
higashiosaka,東大阪市,大阪府,実装済
sennan,泉南市,大阪府,実装済
shijonawate,四條畷市,大阪府,実装済
katano,交野市,大阪府,実装済
osaka_sayama,大阪狭山市,大阪府,実装済
hannan,阪南市,大阪府,実装済
chihayaakasaka,千早赤阪村,大阪府,実装済
osaka_izumi,泉大津市,大阪府,実装済
kobe,神戸市,兵庫県,実装済
himeji,姫路市,兵庫県,実装済
amagasaki,尼崎市,兵庫県,実装済
akashi,明石市,兵庫県,実装済
nishinomiya,西宮市,兵庫県,実装済
sumoto,洲本市,兵庫県,実装済
ashiya,芦屋市,兵庫県,実装済
itami,伊丹市,兵庫県,実装済
aioi,相生市,兵庫県,実装済
kakogawa,加古川市,兵庫県,実装済
ako,赤穂市,兵庫県,実装済
nishiwaki,西脇市,兵庫県,実装済
miki,三木市,兵庫県,実装済
takasago,高砂市,兵庫県,実装済
kawanishi,川西市,兵庫県,実装済
ono_hyogo,小野市,兵庫県,実装済
sanda,三田市,兵庫県,実装済
kasai,加西市,兵庫県,実装済
asago,朝来市,兵庫県,実装済
tamba,丹波市,兵庫県,実装済
minamiawaji,南あわじ市,兵庫県,実装済
awaji,淡路市,兵庫県,実装済
shiso,宍粟市,兵庫県,実装済
kato,加東市,兵庫県,実装済
tatsuno,たつの市,兵庫県,実装済
takarazuka,宝塚市,兵庫県,実装済
inagawa,猪名川町,兵庫県,実装済
taka_machi,多可町,兵庫県,実装済
inami_hyogo,稲美町,兵庫県,実装済
harima,播磨町,兵庫県,実装済
ichikawa_h,市川町,兵庫県,実装済
fukusaki,福崎町,兵庫県,実装済
kamikawa_h,神河町,兵庫県,実装済
taishi_h,太子町,兵庫県,実装済
sayo,佐用町,兵庫県,実装済
aki_takata,赤穂郡上郡町,兵庫県,実装済
shinonsen,新温泉町,兵庫県,実装済
nara,奈良市,奈良県,実装済
yamatotakada,大和高田市,奈良県,実装済
yamatokoriyama,大和郡山市,奈良県,実装済
tenri,天理市,奈良県,実装済
kashihara,橿原市,奈良県,実装済
sakurai_nara,桜井市,奈良県,実装済
gojo,五條市,奈良県,実装済
gose,御所市,奈良県,実装済
ikoma,生駒市,奈良県,実装済
kashiba,香芝市,奈良県,実装済
katsuragi,葛城市,奈良県,実装済
uda,宇陀市,奈良県,実装済
yoshino_nara,吉野町,奈良県,実装済
tawaramoto,田原本町,奈良県,実装済
totsukawa,十津川村,奈良県,実装済
kawakami,川上村,奈良県,未実装
wakayama,和歌山市,和歌山県,実装済
kainan,海南市,和歌山県,実装済
hashimoto_wakayama,橋本市,和歌山県,実装済
arida,有田市,和歌山県,実装済
gobo,御坊市,和歌山県,実装済
tanabe,田辺市,和歌山県,実装済
shingu,新宮市,和歌山県,実装済
kinokawa,紀の川市,和歌山県,実装済
iwade,岩出市,和歌山県,実装済
shirahama,白浜町,和歌山県,実装済
mikami_wakayama,美浜町,和歌山県,未実装
nachikatsura,那智勝浦町,和歌山県,実装済
tottori,鳥取市,鳥取県,実装済
yonago,米子市,鳥取県,未実装
kurayoshi,倉吉市,鳥取県,未実装
sakaiminato,境港市,鳥取県,未実装
matsue,松江市,島根県,実装済
hamada,浜田市,島根県,未実装
izumo,出雲市,島根県,未実装
masuda,益田市,島根県,未実装
oda,大田市,島根県,未実装
yasuki,安来市,島根県,未実装
gotsu,江津市,島根県,未実装
unnan,雲南市,島根県,未実装
okayama,岡山市,岡山県,実装済
kurashiki,倉敷市,岡山県,実装済
tsuyama,津山市,岡山県,未実装
tamano,玉野市,岡山県,未実装
kasaoka,笠岡市,岡山県,未実装
ibara,井原市,岡山県,未実装
soja,総社市,岡山県,未実装
takahashi,高梁市,岡山県,未実装
niimi,新見市,岡山県,未実装
bizen,備前市,岡山県,未実装
setouchi,瀬戸内市,岡山県,未実装
akaiwa,赤磐市,岡山県,未実装
maniwa,真庭市,岡山県,未実装
mimasaka,美作市,岡山県,未実装
asakuchi,浅口市,岡山県,未実装
hiroshima,広島市,広島県,実装済
kure,呉市,広島県,実装済
takehara,竹原市,広島県,未実装
mihara,三原市,広島県,未実装
onomichi,尾道市,広島県,未実装
fukuyama,福山市,広島県,実装済
fuchu,府中市,広島県,実装済
miyoshi_machi,三次市,広島県,実装済
shobara,庄原市,広島県,未実装
otake,大竹市,広島県,未実装
higashihiroshima,東広島市,広島県,実装済
hatsukaichi,廿日市市,広島県,未実装
akitakata,安芸高田市,広島県,未実装
etajima,江田島市,広島県,未実装
shimonoseki,下関市,山口県,実装済
ube,宇部市,山口県,実装済
yamaguchi,山口市,山口県,実装済
hagi,萩市,山口県,未実装
hofu,防府市,山口県,未実装
kudamatsu,下松市,山口県,未実装
iwakuni,岩国市,山口県,未実装
hikari,光市,山口県,未実装
nagato,長門市,山口県,未実装
yanai,柳井市,山口県,未実装
shunan,周南市,山口県,未実装
sanyo_onoda,山陽小野田市,山口県,未実装
tokushima,徳島市,徳島県,実装済
naruto,鳴門市,徳島県,未実装
komatsushima,小松島市,徳島県,未実装
anan,阿南市,徳島県,未実装
yoshinogawa,吉野川市,徳島県,未実装
awa,阿波市,徳島県,未実装
mima,美馬市,徳島県,未実装
miyoshi,三好市,徳島県,実装済
takamatsu,高松市,香川県,実装済
marugame,丸亀市,香川県,実装済
sakaide,坂出市,香川県,未実装
zentsuji,善通寺市,香川県,未実装
kannonji,観音寺市,香川県,未実装
sanuki,さぬき市,香川県,未実装
higashikagawa,東かがわ市,香川県,未実装
mitoyo,三豊市,香川県,未実装
matsuyama,松山市,愛媛県,実装済
imabari,今治市,愛媛県,実装済
uwajima,宇和島市,愛媛県,未実装
yawatahama,八幡浜市,愛媛県,未実装
niihama,新居浜市,愛媛県,実装済
saijo,西条市,愛媛県,未実装
ohzu,大洲市,愛媛県,未実装
shikokuchuo,四国中央市,愛媛県,未実装
kochi,高知市,高知県,実装済
muroto,室戸市,高知県,未実装
aki,安芸市,高知県,未実装
nankoku,南国市,高知県,未実装
susaki,須崎市,高知県,未実装
kami,香美市,高知県,未実装
konan,香南市,高知県,実装済
fukuoka,福岡市,福岡県,実装済
kitakyushu,北九州市,福岡県,実装済
omuta,大牟田市,福岡県,未実装
kurume,久留米市,福岡県,実装済
nogata,直方市,福岡県,未実装
iizuka,飯塚市,福岡県,未実装
tagawa,田川市,福岡県,未実装
yanagawa,柳川市,福岡県,未実装
yame,八女市,福岡県,未実装
chikugo,筑後市,福岡県,未実装
okawa,大川市,福岡県,未実装
yukuhashi,行橋市,福岡県,未実装
buzen,豊前市,福岡県,未実装
nakama,中間市,福岡県,未実装
ogori,小郡市,福岡県,未実装
chikushino,筑紫野市,福岡県,未実装
kasuga,春日市,福岡県,未実装
onojo,大野城市,福岡県,未実装
munakata,宗像市,福岡県,未実装
dazaifu,太宰府市,福岡県,未実装
koga,古賀市,福岡県,未実装
fukutsu,福津市,福岡県,未実装
ukiha,うきは市,福岡県,未実装
miyawaka,宮若市,福岡県,未実装
kama,嘉麻市,福岡県,未実装
asakura,朝倉市,福岡県,未実装
miyama,みやま市,福岡県,未実装
itoshima,糸島市,福岡県,未実装
nakagawa,那珂川市,福岡県,未実装
saga,佐賀市,佐賀県,実装済
karatsu,唐津市,佐賀県,未実装
imari,伊万里市,佐賀県,未実装
takeo,武雄市,佐賀県,未実装
kashima,鹿島市,佐賀県,実装済
ogi,小城市,佐賀県,未実装
ureshino,嬉野市,佐賀県,未実装
shijonawaate,神埴町,佐賀県,未実装
nagasaki,長崎市,長崎県,実装済
sasebo,佐世保市,長崎県,実装済
shimabara,島原市,長崎県,未実装
isahaya,諫早市,長崎県,未実装
omura,大村市,長崎県,未実装
hirado,平戸市,長崎県,未実装
matsuura,松浦市,長崎県,未実装
tsushima,対馬市,長崎県,実装済
iki,壱岐市,長崎県,未実装
goto,五島市,長崎県,未実装
saikai,西海市,長崎県,未実装
unzen,雲仙市,長崎県,未実装
minami_shimabara,南島原市,長崎県,未実装
kumamoto,熊本市,熊本県,実装済
yatsushiro,八代市,熊本県,実装済
hitoyoshi,人吉市,熊本県,未実装
arao,荒尾市,熊本県,未実装
minamata,水俣市,熊本県,未実装
tamana,玉名市,熊本県,未実装
yamaga,山鹿市,熊本県,未実装
kikuchi,菊池市,熊本県,未実装
uto,宇土市,熊本県,未実装
kamiamakusa,上天草市,熊本県,未実装
uki,宇城市,熊本県,未実装
aso,阿蘇市,熊本県,未実装
koshi,合志市,熊本県,未実装
amakusa,天草市,熊本県,未実装
