city_id,市名,都道府県
kusatsu,草津市,滋賀県
moriyama,守山市,滋賀県
konan,甲南市,滋賀県
maibara,米原市,滋賀県
takashima,高島市,滋賀県
ritto,立小市,滋賀県
hino_shiga,日野市,滋賀県
koka,甲賀市,滋賀県
kyoto,京都市,京都府
uji,宇治市,京都府
kizugawa,木津川市,京都府
fukuchiyama,福知山市,京都府
ayabe,綾部市,京都府
joyo,城陽市,京都府
muko,向日市,京都府
yawata,八幡市,京都府
kyotanabe,京田辺市,京都府
nantan,南丹市,京都府
miyazu,宮津市,京都府
kameoka,亀岡市,京都府
kyotango,京丹後市,京都府
maizuru,舞鶴市,京都府
nagaokakyo,長岡京市,京都府
osaka,大阪市,大阪府
higashiosaka,東大阪市,大阪府
toyonaka_2,豊中市,大阪府
suita,吹田市,大阪府
takatsuki,高槻市,大阪府
settsu,摂津市,大阪府
ibaraki,茨木市,大阪府
daito,大東市,大阪府
kadoma,門真市,大阪府
neyagawa,寝屋川市,大阪府
moriguchi,守口市,大阪府
matsubara,松原市,大阪府
habikino,羽曳野市,大阪府
tondabayashi,富田林市,大阪府
ikeda,池田市,大阪府
hotarugike,蛍池市,大阪府
kishiwada,岸和田市,大阪府
takaishi,高石市,大阪府
sennan,泉南市,大阪府
kaizuka,貝塚市,大阪府
izumisano,泉佐野市,大阪府
izumiotsu,泉大津市,大阪府
hannan,阪南市,大阪府
kobe,神戸市,兵庫県
nishinomiya,西宮市,兵庫県
amagasaki,尼崎市,兵庫県
toyonaka_3,豊中市,兵庫県
himeji,姫路市,兵庫県
akashi,明石市,兵庫県
takatsuki_2,高槻市,兵庫県
kasai,加西市,兵庫県
kakogawa,加古川市,兵庫県
takasago,高砂市,兵庫県
kato,加東市,兵庫県
minamiawaji,南あわじ市,兵庫県
tatsuno,たつの市,兵庫県
itami,伊丹市,兵庫県
sanki,三木市,兵庫県
sanda,三田市,兵庫県
tamba,丹波市,兵庫県
shiso,宍粟市,兵庫県
ono_hyogo,小野市,兵庫県
miki,三木市,兵庫県
tanba,丹波町,兵庫県
minamibouso_2,南房総市,兵庫県
nara,奈良市,奈良県
yamatokoriyama,大和高田市,奈良県
yamatotakada,大和高田市,奈良県
kashihara,橿原市,奈良県
gojo,五條市,奈良県
katsuragi,葛城市,奈良県
sakurai_nara,桜井市,奈良県
uda,宇陀市,奈良県
kashiba,橿原市,奈良県
gose,御所市,奈良県
tenri,天理市,奈良県
tawaramoto,田原本町,奈良県
wakayama,和歌山市,和歌山県
kainan,海南市,和歌山県
arida,有田市,和歌山県
shingu,新宮市,和歌山県
kinokawa,紀の川市,和歌山県
hashimoto_wakayama,橋本市,和歌山県
gobo,御坂町,和歌山県
shirahama,白浜町,和歌山県
tottori,鳥取市,鳥取県
yonago,米子市,鳥取県
kurayoshi,倉吉市,鳥取県
matsue,松江市,島根県
izumo,出雲市,島根県
masuda,益田市,島根県
hamada,浜田市,島根県
okayama,岡山市,岡山県
kurashiki,倉敷市,岡山県
tsuyama,津山市,岡山県
takahashi,高梁市,岡山県
bitchu,備中市,岡山県
ibara,井原市,岡山県
asakuchi,浅口市,岡山県
hiroshima,広島市,広島県
kure,呉市,広島県
takehara,竹原市,広島県
miyoshi,三次市,広島県
shobara,庄原市,広島県
asaminami,朝日南市,広島県
onomichi,尾道市,広島県
fukuyama,福山市,広島県
higashihiroshima,東広島市,広島県
mihara,三原市,広島県
hatsukaichi,廿日市市,広島県
yamaguchi,山口市,山口県
shimonoseki,下関市,山口県
ube,宇部市,山口県
hofu,防府市,山口県
yao,八尾市,徳島県
tokushima,徳島市,徳島県
komatsushima,小松島市,徳島県
nakamura,北山村,徳島県
marugame,丸亀市,香川県
takamatsu,高松市,香川県
sakaide,坂出市,香川県
sanuki,三豊市,香川県
higashikagawa,東香川市,香川県
mitoyo,三豊市,香川県
ehime,松山市,愛媛県
matsuyama,松山市,愛媛県
imabari,今治市,愛媛県
uwajima,宇和島市,愛媛県
komatsu,小松島市,愛媛県
saijo,西条市,愛媛県
yawatahama,八幡浜市,愛媛県
ozu,鬼北町,愛媛県
kochi,高知市,高知県
kochi_city,高知市,高知県
nanoku,南国市,高知県
konan,香南市,高知県
tosashimizu,土佐清水市,高知県
tosa,土佐市,高知県
yasu,安芸市,高知県
fukuoka,福岡市,福岡県
kitakyushu,北九州市,福岡県
fukuoka_2,福岡市,福岡県
yame,八女市,福岡県
kurume,久留米市,福岡県
oita,大分市,大分県
beppu,別府市,大分県
usuki,臼杵市,大分県
hiji,日田市,大分県
taketa,竹田市,大分県
nobeoka,延岡市,宮崎県
miyazaki,宮崎市,宮崎県
kobayashi,小林市,宮崎県
nichinan,日南市,宮崎県
hyuga,日向市,宮崎県
miyakonojo,都城市,宮崎県
yatsushiro,八代市,熊本県
kumamoto,熊本市,熊本県
tamana,玉名市,熊本県
kasuga,春日市,熊本県
sho,庄市,熊本県
yatsushiro_2,八代市,熊本県
toin,遠野市,熊本県
miyama,宮若市,熊本県
arao,荒尾市,熊本県
tomoe,富合町,熊本県
minamata,水俣市,熊本県
isomaki,磯松市,熊本県
yamaga,山鹿市,熊本県
amakusa,天草市,熊本県
yatsushiro_3,八代市,熊本県
mifune,御船町,熊本県
nagasu,長洲町,熊本県
yanagimachi,柳町,熊本県
ueshio,上塩尻,熊本県
hisatomi,久富町,熊本県
isomaki_2,磯松市,熊本県
tosa_2,土佐町,高知県
yatushiro_4,八代市,熊本県
saga,佐賀市,佐賀県
karatsu,唐津市,佐賀県
imari,伊万里市,佐賀県
takeo,武雄市,佐賀県
kashima,鹿島市,佐賀県
ureshino,嬉野市,佐賀県
ogi,小城市,佐賀県
nagasaki,長崎市,長崎県
sasebo,佐世保市,長崎県
isahaya,諫早市,長崎県
omura,大村市,長崎県
shimabara,島原市,長崎県
minamitakaki,南高来市,長崎県
toyooka,豊岡市,兵庫県
asago,朝来市,兵庫県
wakasa,若狭町,福井県
sabae,鯖江市,福井県
echizen,越前市,福井県
fukui,福井市,福井県
katsuyama,勝山市,福井県
ono_fukui,大野市,福井県
takefu,武生市,福井県
tsuruga,敦賀市,福井県
kanazawa,金沢市,石川県
komatsu,小松市,石川県
wajima,輪島市,石川県
noto,能登町,石川県
kaga,加賀市,石川県
nowajishi,野々市市,石川県
kamaishi,鎌井市,石川県
hakui,羽咋市,石川県
toyama,富山市,富山県
takaoka,高岡市,富山県
oyabe,小矢部市,富山県
kurobei,黒部市,富山県
tonami,砺波市,富山県
harushio,春潮市,富山県
shinminato,神通町,富山県
unazuki,宇奈月町,富山県
nagano,長野市,長野県
matsumoto,松本市,長野県
ueda,上田市,長野県
komoro,小諸市,長野県
suzaka,須坂市,長野県
zao,座王町,長野県
nagano_2,長野市,長野県
yonezawa_2,米沢市,長野県
iida,飯田市,長野県
shibuya,渋谷市,岐阜県
gifu,岐阜市,岐阜県
ogaki,大垣市,岐阜県
takayama,高山市,岐阜県
mino,美濃市,岐阜県
mitake,美咲町,岐阜県
satao,佐太夫市,岐阜県
kani,可児市,岐阜県
kasugai_2,春日井市,岐阜県
hachimantai_2,八幡平市,岐阜県
kamaishi_2,鎌井市,岐阜県
kuwana_2,桑名市,岐阜県
tokai_2,東海市,岐阜県
sekigahara,関ヶ原町,岐阜県
hankoku,反古町,岐阜県
kagoshima,鹿児島市,鹿児島県
aira,姶良市,鹿児島県
okinawa,那覇市,沖縄県
naha,那覇市,沖縄県
