city_id,市名,都道府県,実装状態,グループ
seki,関市,岐阜県,未実装,C
nakatsugawa,中津川市,岐阜県,未実装,C
gero,下呂市,岐阜県,未実装,C
hanamaki,花巻市,岐阜県,未実装,C
takeda,武田市,岐阜県,未実装,C
motosu,本巣市,岐阜県,未実装,C
kamioka,神岡市,岐阜県,未実装,C
gujo,郡上市,岐阜県,未実装,C
kani,可児市,岐阜県,未実装,C
minokamo,瑞浪市,岐阜県,未実装,C
tajimi,多治見市,岐阜県,未実装,C
toki,土岐市,岐阜県,未実装,C
mitake,三岳町,岐阜県,未実装,C
sekigahara,関ヶ原町,岐阜県,未実装,C
kaminaka,上中市,滋賀県,未実装,C
nagahama,長浜市,滋賀県,未実装,C
omihachiman,近江八幡市,滋賀県,未実装,C
kusatsu,草津市,滋賀県,未実装,C
moriyama,守山市,滋賀県,未実装,C
konan_shiga,甲南市,滋賀県,未実装,C
maibara,米原市,滋賀県,未実装,C
takashima,高島市,滋賀県,未実装,C
ritto_shiga,立小市,滋賀県,未実装,C
hino_shiga,日野市,滋賀県,未実装,C
koka,甲賀市,滋賀県,未実装,C
kitsuki,杵築市,大分県,未実装,C
bungo_taketa,豊後竹田市,大分県,未実装,C
saiki,佐伯市,大分県,未実装,C
saiki_2,佐伯市,大分県,未実装,C
yodo,豊後大野市,大分県,未実装,C
minami,南大分市,大分県,未実装,C
manabakusu,学習村,大分県,未実装,C
taketa_2,竹田市,大分県,未実装,C
kirishima,霧島市,鹿児島県,未実装,C
myakonojo,都城市,鹿児島県,未実装,C
aira,姶良市,鹿児島県,未実装,C
shibushi,志布志市,鹿児島県,未実装,C
komatsushima,小松島市,鹿児島県,未実装,C
satsumasendai,薩摩川内市,鹿児島県,未実装,C
shibushi_2,志布志市,鹿児島県,未実装,C
syoutoku,庄徳市,鹿児島県,未実装,C
minami_sendai,南薩摩市,鹿児島県,未実装,C
isomaki,磯松市,鹿児島県,未実装,C
kiryushima,霧島市,鹿児島県,未実装,C
natsume,夏目市,沖縄県,未実装,C
urasoe,浦添市,沖縄県,未実装,C
okinawa_city,沖縄市,沖縄県,未実装,C
ginowan,宜野湾市,沖縄県,未実装,C
kin,金武町,沖縄県,未実装,C
nanjo,南城市,沖縄県,未実装,C
itoman,糸満市,沖縄県,未実装,C
yaka,八重瀬町,沖縄県,未実装,C
toyama_toy,豊見城市,沖縄県,未実装,C
