"city_id","articles_count","latest_date","is_phase5bc","genre_count","genres"
"ichikawa_h","4","2026-06-08","No","0",""
"ichinomiya","4","2026-06-16","Yes","0",""
"ide","4","2026-06-08","No","0",""
"iida","2","2026-06-08","No","0",""
"ikaruga","3","2026-06-08","No","0",""
"ikeda","3","2026-06-08","No","1","solar"
"ikoma","3","2026-06-08","No","0",""
"imabari","22","2026-06-13","Yes","2","electric_vehicle|solar"
"ina","10","2026-06-09","No","2","electric_vehicle|solar"
"inagawa","4","2026-06-08","No","0",""
"inagi","3","2026-06-08","No","0",""
"inami_hyogo","4","2026-06-08","No","0",""
"inashiki","10","2026-06-15","Yes","2","electric_vehicle|solar"
"inazawa","4","2026-06-16","Yes","0",""
"ina_machi","3","2026-06-08","No","0",""
"ine","4","2026-06-08","No","0",""
"inuyama","13","2026-06-15","Yes","2","electric_vehicle|solar"
"iruma","3","2026-06-08","No","0",""
"isehara","3","2026-06-16","Yes","0",""
"isesaki","12","2026-06-08","No","2","electric_vehicle|solar"
"ishikawa_pref","3","2026-06-08","No","0",""
"ishinomaki","2","2026-06-08","No","0",""
"itabashi","3","2026-06-08","No","0",""
"itami","4","2026-06-08","No","0",""
"iwade","3","2026-06-08","No","0",""
"iwaki","2","2026-06-08","No","0",""
"iwakura","13","2026-06-15","Yes","2","electric_vehicle|solar"
"iwamizawa","10","2026-06-13","Yes","2","electric_vehicle|solar"
"iwate_pref","3","2026-06-08","No","0",""
"izumiotsu","5","2026-06-16","Yes","1","solar"
"izumisano","4","2026-06-08","No","0",""
"joetsu","3","2026-06-08","No","0",""
"joso","10","2026-06-15","Yes","2","electric_vehicle|solar"
"joyo","3","2026-06-08","No","0",""
"kadoma","5","2026-06-08","No","0",""
"kagawa_pref","3","2026-06-08","No","0",""
"kagoshima","15","2026-06-11","No","2","electric_vehicle|solar"
"kagoshima_pref","3","2026-06-08","No","0",""
"kai","1","2026-06-16","Yes","0",""
"kainan","3","2026-06-08","No","0",""
"kaisei","3","2026-06-08","No","0",""
"kaizuka","3","2026-06-08","No","0",""
"kakogawa","5","2026-06-16","Yes","1","solar"
"kamaishi","10","2026-06-15","Yes","2","electric_vehicle|solar"
"kamakura","5","2026-06-16","Yes","0",""
"kameoka","5","2026-06-16","Yes","1","solar"
"kamigori","4","2026-06-08","No","0",""
"kamikawa_h","4","2026-06-08","No","0",""
"kamikawa_s","3","2026-06-08","No","0",""
"kamisato","3","2026-06-08","No","0",""
"kanagawa_pref","7","2026-06-08","No","0",""
"kanan","3","2026-06-08","No","0",""
"kanazawa","14","2026-06-11","No","2","electric_vehicle|solar"
"kani","10","2026-06-15","Yes","2","electric_vehicle|solar"
"kanie","3","2026-06-08","No","0",""
"kanuma","10","2026-06-08","No","2","electric_vehicle|solar"
"kariya","3","2026-06-08","No","0",""
"kasagi","4","2026-06-08","No","0",""
"kasai","4","2026-06-08","No","0",""
"kasama","10","2026-06-15","Yes","2","electric_vehicle|solar"
"kashiba","3","2026-06-08","No","0",""
"kashihara","3","2026-06-08","No","0",""
"kashima","2","2026-06-08","No","0",""
"kashiwa","12","2026-06-08","No","2","electric_vehicle|solar"
"kashiwara","4","2026-06-08","No","0",""
"kasugai","14","2026-06-15","Yes","2","electric_vehicle|solar"
"kasukabe","5","2026-06-16","Yes","0",""
"kasumigaura","10","2026-06-15","Yes","2","electric_vehicle|solar"
"katano","4","2026-06-08","No","0",""
"kato","5","2026-06-16","Yes","0",""
"katori","10","2026-06-15","Yes","2","electric_vehicle|solar"
"katsuragi","3","2026-06-08","No","0",""
"katsushika","3","2026-06-08","No","0",""
"kawachinagano","4","2026-06-08","No","0",""
"kawagoe","15","2026-06-08","No","2","electric_vehicle|solar"
"kawaguchi","15","2026-06-08","No","2","electric_vehicle|solar"
"kawanishi","3","2026-06-08","No","0",""
"kawasaki","10","2026-06-08","No","0",""
"kawashima_s","3","2026-06-08","No","0",""
"kazo","14","2026-06-09","No","2","electric_vehicle|solar"
"kesennuma","10","2026-06-13","Yes","2","electric_vehicle|solar"
"kinokawa","3","2026-06-08","No","0",""
"kirishima","2","2026-06-08","No","0",""
"kiryu","2","2026-06-08","No","0",""
"kisarazu","10","2026-06-09","No","2","electric_vehicle|solar"
"kishiwada","7","2026-06-08","No","0",""
"kitakami","2","2026-06-08","No","0",""
"kitakyushu","13","2026-06-10","No","2","electric_vehicle|solar"
"kitamoto","13","2026-06-09","No","2","electric_vehicle|solar"
"kitanagoya","2","2026-06-08","No","0",""
"kita_ku","3","2026-06-08","No","0",""
"kiyokawa","4","2026-06-08","No","0",""
"kiyose","3","2026-06-08","No","0",""
"kiyosu","3","2026-06-08","No","0",""
"kizugawa","5","2026-06-16","Yes","1","solar"
"kobe","23","2026-06-10","No","2","electric_vehicle|solar"
"kochi","13","2026-06-09","No","2","electric_vehicle|solar"
"kochi_pref","3","2026-06-08","No","0",""
"kodaira","3","2026-06-08","No","0",""
"kofu","3","2026-06-08","No","1","energy_saving"
"koganei","3","2026-06-08","No","0",""
"koka","4","2026-06-08","No","0",""
"kokubunji","3","2026-06-08","No","0",""
"komae","3","2026-06-08","No","0",""
"komaki","4","2026-06-16","Yes","1","solar"
"komatsu","10","2026-06-15","Yes","2","electric_vehicle|solar"
"komoro","10","2026-06-15","Yes","2","electric_vehicle|solar"
"konan","10","2026-06-15","Yes","2","electric_vehicle|solar"
"konan_aichi","2","2026-06-08","No","0",""
"konan_shiga","3","2026-06-08","No","0",""
"konosu","5","2026-06-08","No","0",""
"kora","3","2026-06-08","No","0",""
"koriyama","12","2026-06-09","No","2","electric_vehicle|solar"
"koryo","3","2026-06-08","No","0",""
"koshigaya","14","2026-06-08","No","2","electric_vehicle|solar"
"kota","3","2026-06-08","No","0",""
"koto_ku","3","2026-06-08","No","0",""
"koya","4","2026-06-08","No","0",""
"kuki","13","2026-06-09","No","2","electric_vehicle|solar"
"kumagaya","14","2026-06-13","Yes","2","electric_vehicle|solar"
"kumamoto","15","2026-06-10","No","2","electric_vehicle|solar"
"kumamoto_pref","2","2026-06-08","No","0",""
"kumatori","4","2026-06-08","No","0",""
"kumiyama","3","2026-06-08","No","0",""
"kunitachi","3","2026-06-08","No","0",""
"kurashiki","12","2026-06-09","No","2","electric_vehicle|solar"
"kure","12","2026-06-09","No","2","electric_vehicle|solar"
"kuroiso","10","2026-06-13","Yes","2","electric_vehicle|solar"
"kurume","12","2026-06-10","No","2","electric_vehicle|solar"
"kusatsu","5","2026-06-16","Yes","1","solar"
"kushiro","10","2026-06-13","Yes","2","electric_vehicle|solar"
"kuwana","2","2026-06-08","No","0",""
"kyotamba","4","2026-06-08","No","0",""
"kyotanabe","3","2026-06-08","No","0",""
"kyotango","4","2026-06-08","No","0",""
"kyoto_pref","6","2026-06-08","No","0",""
"machida","3","2026-06-08","No","0",""
"maebashi","14","2026-06-08","No","2","electric_vehicle|solar"
"maibara","5","2026-06-16","Yes","1","solar"
"maizuru","4","2026-06-08","No","0",""
"manazuru","3","2026-06-08","No","0",""
"marugame","2","2026-06-08","No","0",""
"matsubara","5","2026-06-08","No","0",""
"matsubushi","3","2026-06-08","No","0",""
"matsuda","3","2026-06-08","No","0",""
"matsudo","13","2026-06-08","No","2","electric_vehicle|solar"
"matsue","14","2026-06-09","No","2","electric_vehicle|solar"
"matsumoto","13","2026-06-09","No","2","electric_vehicle|solar"
"matsuyama","13","2026-06-11","No","2","electric_vehicle|solar"
"meguro","3","2026-06-08","No","0",""
"mie_pref","4","2026-06-08","No","0",""
"mihama_aichi","3","2026-06-08","No","0",""
"mikata_h","4","2026-06-08","No","0",""
"miki","4","2026-06-16","Yes","0",""
"minamiashigara","4","2026-06-08","No","0",""
"minamiawaji","4","2026-06-16","Yes","0",""
"minamibouso","10","2026-06-15","Yes","2","electric_vehicle|solar"
"minamichita","3","2026-06-08","No","0",""
"minamiyamashiro","4","2026-06-08","No","0",""
"minano","3","2026-06-08","No","0",""
"minato_ku","3","2026-06-08","No","0",""
"mino","10","2026-06-15","Yes","2","electric_vehicle|solar"
"minoh","3","2026-06-08","No","0",""
"misaki","4","2026-06-08","No","0",""
"misato","3","2026-06-08","No","0",""
"misato_machi","3","2026-06-08","No","0",""
"mitaka","2","2026-06-08","No","0",""
"mito","13","2026-06-10","No","2","electric_vehicle|solar"
"miura","4","2026-06-08","No","0",""
"miyagi_pref","3","2026-06-08","No","0",""
"miyakonojo","2","2026-06-08","No","0",""
"miyashiro","3","2026-06-08","No","0",""
"miyazaki","13","2026-06-09","No","2","electric_vehicle|solar"
"miyazaki_pref","3","2026-06-08","No","0",""
"miyazu","4","2026-06-16","Yes","0",""
"miyoshi","3","2026-06-08","No","0",""
"miyoshi_machi","3","2026-06-08","No","0",""
"mizuho","3","2026-06-08","No","0",""
"moriguchi","5","2026-06-16","Yes","0",""
"morioka","14","2026-06-11","No","2","electric_vehicle|solar"
"moriyama_shiga","3","2026-06-15","Yes","0",""
"moroyama","3","2026-06-08","No","0",""
"muko","3","2026-06-08","No","0",""
"muroran","10","2026-06-13","Yes","2","electric_vehicle|solar"
"musashimurayama","3","2026-06-08","No","0",""
"musashino","3","2026-06-08","No","1","energy_saving"
"nachikatsura","3","2026-06-08","No","0",""
"nagahama","14","2026-06-15","Yes","2","electric_vehicle|solar"
"nagakute","3","2026-06-08","No","0",""
"nagano","13","2026-06-09","No","2","electric_vehicle|solar"
"nagano_pref","12","2026-06-08","No","0",""
"nagaoka","3","2026-06-08","No","0",""
"nagaokakyo","3","2026-06-08","No","0",""
"nagareyama","10","2026-06-08","No","2","electric_vehicle|solar"
"nagasaki","19","2026-06-09","No","2","electric_vehicle|solar"
"nagasaki_pref","2","2026-06-08","No","0",""
"nagatoro","3","2026-06-08","No","0",""
"naha","14","2026-06-11","No","2","electric_vehicle|solar"
"nakai","3","2026-06-08","No","0",""
"nakano","3","2026-06-08","No","0",""
"nakatsu","2","2026-06-08","No","0",""
"namegawa","3","2026-06-08","No","0",""
"nantan","4","2026-06-16","Yes","0",""
"nara","15","2026-06-11","No","2","electric_vehicle|solar"
"nara_pref","7","2026-06-08","No","0",""
"narita","10","2026-06-08","No","2","electric_vehicle|solar"
"nasukarasuyama","10","2026-06-13","Yes","2","electric_vehicle|solar"
"nasushiobara","12","2026-06-08","No","2","electric_vehicle|solar"
"nerima","3","2026-06-08","No","0",""
"neyagawa","13","2026-06-10","No","2","solar|electric_vehicle"
"niigata","10","2026-06-08","No","0",""
"niigata_pref","4","2026-06-08","No","0",""
"niihama","10","2026-06-13","Yes","2","electric_vehicle|solar"
"niiza","5","2026-06-08","No","0",""
"nikko","12","2026-06-08","No","2","electric_vehicle|solar"
"ninomiya","2","2026-06-08","No","0",""
"nishinomiya","13","2026-06-10","No","2","electric_vehicle|solar"
"nishio","4","2026-06-08","No","0",""
"nishitokyo","3","2026-06-08","No","0",""
"nishiwaki","4","2026-06-16","Yes","0",""
"nisshin","3","2026-06-08","No","0",""
"nobeoka","12","2026-06-10","No","2","electric_vehicle|solar"
"noda","10","2026-06-08","No","2","electric_vehicle|solar"
"nose","4","2026-06-08","No","0",""
"numazu","12","2026-06-10","No","2","electric_vehicle|solar"
"obama","10","2026-06-15","Yes","2","electric_vehicle|solar"
"obihiro","10","2026-06-13","Yes","2","electric_vehicle|solar"
"obu","3","2026-06-08","No","0",""
"odawara","4","2026-06-08","No","0",""
"ogaki","2","2026-06-08","No","0",""
"ogano","3","2026-06-08","No","0",""
"ogawa_s","3","2026-06-08","No","0",""
"ogose","3","2026-06-08","No","0",""
"oguchi","3","2026-06-08","No","0",""
"oharu","3","2026-06-08","No","0",""
"oi","3","2026-06-08","No","1","energy_saving"
"oiso","3","2026-06-08","No","1","energy_saving"
"oita","14","2026-06-09","No","2","electric_vehicle|solar"
"oita_pref","3","2026-06-08","No","0",""
"okayama","3","2026-06-08","No","0",""
"okayama_pref","6","2026-06-08","No","0",""
"okazaki","15","2026-06-13","Yes","2","electric_vehicle|solar"
"okegawa","15","2026-06-09","No","2","electric_vehicle|solar"
"okinawa_pref","2","2026-06-08","No","0",""
"okutama","4","2026-06-08","No","0",""
"ome","3","2026-06-08","No","0",""
"omihachiman","3","2026-06-08","No","0",""
"omitama","10","2026-06-15","Yes","2","electric_vehicle|solar"
"ono_hyogo","4","2026-06-16","Yes","0",""
"osaka_izumi","5","2026-06-08","No","0",""
"osaka_pref","18","2026-06-08","No","1","solar"
"osaka_sayama","3","2026-06-08","No","0",""
"osaki","2","2026-06-08","No","0",""
"ota","10","2026-06-08","No","2","electric_vehicle|solar"
"otaru","10","2026-06-15","Yes","2","electric_vehicle|solar"
"ota_gunma","2","2026-06-08","No","0",""
"ota_ku","3","2026-06-08","No","0",""
"otsu","15","2026-06-09","No","2","electric_vehicle|solar"
"owariasahi","3","2026-06-08","No","0",""
"oyama","12","2026-06-08","No","2","electric_vehicle|solar"
"oyamazaki","3","2026-06-08","No","0",""
"ranzan","3","2026-06-08","No","0",""
"rikuzentakata","10","2026-06-15","Yes","2","electric_vehicle|solar"
"ritto","3","2026-06-08","No","0",""
"ryugasaki","2","2026-06-08","No","0",""
"ryuou","3","2026-06-08","No","0",""
"sabae","10","2026-06-15","Yes","2","electric_vehicle|solar"
"saga","13","2026-06-09","No","2","electric_vehicle|solar"
"sagamihara","5","2026-06-08","No","1","energy_saving"
"saga_pref","3","2026-06-08","No","0",""
"saitama","18","2026-06-08","No","2","electric_vehicle|solar"
"saitama_pref","9","2026-06-08","No","0",""
"sakado","4","2026-06-08","No","0",""
"sakai","11","2026-06-08","No","0",""
"sakata","2","2026-06-08","No","0",""
"sakura","10","2026-06-08","No","2","electric_vehicle|solar"
"sakurai_nara","3","2026-06-08","No","0",""
"sammu","10","2026-06-15","Yes","2","electric_vehicle|solar"
"samukawa","3","2026-06-08","No","0",""
"sanda","4","2026-06-16","Yes","0",""
"sano","10","2026-06-08","No","2","electric_vehicle|solar"
"sapporo","13","2026-06-10","No","2","electric_vehicle|solar"
"sasebo","10","2026-06-13","Yes","2","electric_vehicle|solar"
"satte","3","2026-06-08","No","0",""
"sayama","5","2026-06-08","No","0",""
"sayo","4","2026-06-16","Yes","0",""
"seika","3","2026-06-08","No","0",""
"sendai","6","2026-06-08","No","0",""
"sennan","4","2026-06-08","No","0",""
"setagaya","4","2026-06-08","No","0",""
"seto","3","2026-06-08","No","0",""
"settsu","3","2026-06-08","No","1","solar"
"shibukawa","10","2026-06-08","No","2","electric_vehicle|solar"
"shibuya","3","2026-06-08","No","0",""
"shiga_pref","5","2026-06-08","No","0",""
"shijonawate","4","2026-06-08","No","0",""
"shiki","3","2026-06-08","No","0",""
"shimane_pref","3","2026-06-08","No","0",""
"shimonoseki","2","2026-06-08","No","0",""
"shinagawa","3","2026-06-08","No","0",""
"shingu","4","2026-06-08","No","0",""
"shinjuku","2","2026-06-08","No","0",""
"shinonsen","4","2026-06-08","No","0",""
"shinshiro","3","2026-06-08","No","0",""
"shirahama","4","2026-06-08","No","0",""
"shiraoka","13","2026-06-09","No","2","electric_vehicle|solar"
"shiso","4","2026-06-08","No","0",""
"shitara","3","2026-06-08","No","0",""
"shizuoka","16","2026-06-13","Yes","2","electric_vehicle|solar"
"shizuoka_pref","4","2026-06-08","No","0",""
"soka","3","2026-06-08","No","0",""
"suginami","3","2026-06-08","No","0",""
"sugito","3","2026-06-08","No","0",""
"suita","21","2026-06-10","No","2","electric_vehicle|solar"
"sumida","3","2026-06-08","No","0",""
"sumoto","4","2026-06-16","Yes","0",""
"suzaka","10","2026-06-15","Yes","2","electric_vehicle|solar"
"suzuka","2","2026-06-08","No","0",""
"tachikawa","2","2026-06-08","No","0",""
"tadaoka","3","2026-06-08","No","1","electric_vehicle"
"taga","3","2026-06-08","No","0",""
"tahara","3","2026-06-08","No","0",""
"taishi","4","2026-06-08","No","0",""
"taishi_h","4","2026-06-08","No","0",""
"taito","3","2026-06-08","No","0",""
"tajiri","3","2026-06-08","No","0",""
"takahama","13","2026-06-15","Yes","2","electric_vehicle|solar"
"takaishi","4","2026-06-08","No","0",""
"takamatsu","13","2026-06-11","No","2","electric_vehicle|solar"
"takaoka","2","2026-06-08","No","0",""
"takarazuka","3","2026-06-08","No","0",""
"takasago","4","2026-06-16","Yes","0",""
"takasaki","12","2026-06-08","No","2","electric_vehicle|solar"
"takashima","4","2026-06-08","No","0",""
"takatsuki","14","2026-06-10","No","2","electric_vehicle|solar"
"taka_machi","4","2026-06-08","No","0",""
"takefu","10","2026-06-15","Yes","2","electric_vehicle|solar"
"taketoyo","3","2026-06-08","No","0",""
"takizawa","3","2026-06-16","Yes","1","solar"
"tama","4","2026-06-08","No","0",""
"tamba","4","2026-06-08","No","0",""
"tanabe","4","2026-06-16","Yes","0",""
"tanba","4","2026-06-08","No","0",""
"tanbasasayama","4","2026-06-08","No","0",""
"tatebayashi","10","2026-06-08","No","2","electric_vehicle|solar"
"tateyama","10","2026-06-16","Yes","2","electric_vehicle|solar"
"tatsuno","4","2026-06-08","No","0",""
"tawaramoto","3","2026-06-08","No","0",""
"tenkawa","3","2026-06-08","No","0",""
"tenri","3","2026-06-08","No","0",""
"tobishima","3","2026-06-08","No","0",""
"tochigi_city","2","2026-06-08","No","0",""
"tochigi_pref","3","2026-06-08","No","0",""
"toda","3","2026-06-08","No","0",""
"toei","3","2026-06-08","No","0",""
"togo","3","2026-06-08","No","0",""
"tokai_aichi","3","2026-06-08","No","0",""
"tokigawa","3","2026-06-08","No","0",""
"tokoname","3","2026-06-08","No","0",""
"tokorozawa","16","2026-06-08","No","2","electric_vehicle|solar"
"tokushima","13","2026-06-09","No","2","electric_vehicle|solar"
"tokushima_pref","3","2026-06-08","No","0",""
"tomakomai","10","2026-06-13","Yes","2","electric_vehicle|solar"
"tondabayashi","4","2026-06-08","No","0",""
"toride","10","2026-06-09","No","2","electric_vehicle|solar"
"toshima","3","2026-06-08","No","0",""
"tosu","10","2026-06-13","Yes","2","electric_vehicle|solar"
"totsukawa","3","2026-06-08","No","0",""
"tottori","13","2026-06-09","No","2","electric_vehicle|solar"
"tottori_pref","3","2026-06-08","No","0",""
"toyama","15","2026-06-11","No","2","electric_vehicle|solar"
"toyama_pref","3","2026-06-08","No","0",""
"toyoake","3","2026-06-08","No","0",""
"toyohashi","15","2026-06-13","Yes","3","energy_saving|electric_vehicle|solar"
"toyokawa","3","2026-06-08","No","0",""
"toyonaka","22","2026-06-10","No","2","electric_vehicle|solar"
"toyono","4","2026-06-08","No","0",""
"toyooka","14","2026-06-09","No","2","electric_vehicle|solar"
"toyosato","3","2026-06-08","No","0",""
"toyota","15","2026-06-10","No","2","electric_vehicle|solar"
"toyoyama","3","2026-06-08","No","0",""
"tsu","13","2026-06-09","No","2","electric_vehicle|solar"
"tsuchiura","2","2026-06-08","No","0",""
"tsukubamirai","11","2026-06-16","Yes","2","electric_vehicle|solar"
"tsuruga","10","2026-06-15","Yes","2","electric_vehicle|solar"
"tsurugashima","13","2026-06-09","No","2","electric_vehicle|solar"
"tsuruoka","2","2026-06-08","No","0",""
"tsushima","3","2026-06-08","No","0",""
"tyone","3","2026-06-08","No","0",""
"ube","12","2026-06-10","No","2","electric_vehicle|solar"
"uda","4","2026-06-08","No","0",""
"ueda","12","2026-06-15","Yes","2","electric_vehicle|solar"
"uji","3","2026-06-08","No","0",""
"ujitawara","4","2026-06-08","No","0",""
"urayasu","3","2026-06-08","No","0",""
"ushiku","10","2026-06-13","Yes","2","electric_vehicle|solar"
"utsunomiya","14","2026-06-08","No","2","electric_vehicle|solar"
"wajima","10","2026-06-15","Yes","2","electric_vehicle|solar"
"wakayama","15","2026-06-09","No","2","electric_vehicle|solar"
"wakayama_pref","5","2026-06-08","No","0",""
"wako","3","2026-06-08","No","0",""
"warabi","3","2026-06-08","No","0",""
"wazuka","4","2026-06-08","No","0",""
"yabu","4","2026-06-08","No","0",""
"yachiyo","10","2026-06-08","No","2","electric_vehicle|solar"
"yamagata","15","2026-06-11","No","2","electric_vehicle|solar"
"yamagata_pref","3","2026-06-08","No","0",""
"yamaguchi","12","2026-06-10","No","2","electric_vehicle|solar"
"yamaguchi_pref","5","2026-06-08","No","0",""
"yamakita","4","2026-06-08","No","0",""
"yamanashi_pref","3","2026-06-08","No","0",""
"yamato","4","2026-06-08","No","0",""
"yamatokoriyama","3","2026-06-08","No","0",""
"yamatotakada","3","2026-06-08","No","0",""
"yao","4","2026-06-08","No","0",""
"yashio","3","2026-06-08","No","0",""
"yasu","3","2026-06-08","No","0",""
"yatomi","3","2026-06-08","No","0",""
"yatsushiro","2","2026-06-08","No","0",""
"yawata","3","2026-06-08","No","0",""
"yokkaichi","2","2026-06-08","No","0",""
"yokosuka","5","2026-06-16","Yes","1","solar"
"yokoze","3","2026-06-08","No","0",""
"yonezawa","10","2026-06-15","Yes","2","electric_vehicle|solar"
"yorii","3","2026-06-08","No","0",""
"yosano","3","2026-06-08","No","0",""
"yoshikawa","3","2026-06-08","No","0",""
"yoshimi","3","2026-06-08","No","0",""
"yoshino_nara","4","2026-06-08","No","0",""
"yotsukaido","10","2026-06-09","No","2","electric_vehicle|solar"
"yugawara","4","2026-06-08","No","1","energy_saving"
"zama","3","2026-06-08","No","0",""
"zushi","4","2026-06-08","No","0",""
